title,text,stars,publishedAtDate,likesCount,platform
Masjid_Raya_Baiturrahman,betapa rindu nya kesini lagi ??,,21/05/2026 10:39,1,TikTok
Masjid_Raya_Baiturrahman,"Aku tinggal di Aceh Utara tapi belum pernah kemesjid ini,Ya Allah berilah kesempatan untuk ku untuk berkunjung ke mesjid ini aamiiin...",,22/05/2026 13:29,1,TikTok
Masjid_Raya_Baiturrahman,MasyaAllah adem nya,,20/05/2026 12:11,3,TikTok
Masjid_Raya_Baiturrahman,lurus tebus ke Mekah yaallah pingin. ke Mekah ??,,22/05/2026 14:42,2,TikTok
Masjid_Raya_Baiturrahman,"kebanggaan rakyat Aceh
adalah masjid raya Baiturrahman",,20/05/2026 12:07,4,TikTok
Masjid_Raya_Baiturrahman,masya Allah.... ?,,20/05/2026 13:07,2,TikTok
Masjid_Raya_Baiturrahman,ijin save ??,,21/05/2026 18:47,0,TikTok
Masjid_Raya_Baiturrahman,luas sekali masjidnya,,22/05/2026 08:21,0,TikTok
Masjid_Raya_Baiturrahman,"udah lama banget ngak kesana, semoga beutrok lom",,04/06/2026 20:42,0,TikTok
Masjid_Raya_Baiturrahman,Masya Allah...??????,,20/05/2026 21:46,0,TikTok
Masjid_Raya_Baiturrahman,masyaallah....,,22/05/2026 10:36,0,TikTok
Masjid_Raya_Baiturrahman,luar biasa,,20/05/2026 22:11,0,TikTok
Masjid_Raya_Baiturrahman,MasyAllah????????????????,,21/05/2026 09:24,0,TikTok
Masjid_Raya_Baiturrahman,Masya Allah cantik sgt dh????,,21/05/2026 11:45,0,TikTok
Masjid_Raya_Baiturrahman,masya alloh,,21/05/2026 11:29,0,TikTok
Masjid_Raya_Baiturrahman,Masya Allah,,21/05/2026 18:54,0,TikTok
Masjid_Raya_Baiturrahman,rindu suasananya ????,,21/05/2026 12:00,0,TikTok
Masjid_Raya_Baiturrahman,Dekat gan Rumah kite masjid Ni??????.,,22/05/2026 08:52,0,TikTok
Masjid_Raya_Baiturrahman,izin save video nya,,20/05/2026 21:05,0,TikTok
Masjid_Raya_Baiturrahman,Masya Allah tabarakallah ??,,21/05/2026 19:33,0,TikTok
Masjid_Raya_Baiturrahman,"MASYAALLAH,,,impianku DRI kcil pengen sekali liat langsung dan shalat di mesjid ini,,tpi Sampek skrg udh umur 33 blum jga kesampaian,,pdhl sya asli aceh??????",,22/05/2026 11:14,0,TikTok
Masjid_Raya_Baiturrahman,"masyaallah
aku pengen kali kesana kk",,22/05/2026 15:28,0,TikTok
Masjid_Raya_Baiturrahman,masyaallah luar biasa,,20/05/2026 19:44,0,TikTok
Masjid_Raya_Baiturrahman,MasyaAllah Ta barakallah??????,,19/05/2026 19:15,4,TikTok
Masjid_Raya_Baiturrahman,Masya Allah Tabarakallah Alhamdulillah ????,,03/06/2026 07:54,0,TikTok
Masjid_Raya_Baiturrahman,masyaallah,,22/05/2026 17:10,0,TikTok
Masjid_Raya_Baiturrahman,indah dan terasa amat Agung Masjid Raya Baiturrahman,,20/05/2026 19:26,1,TikTok
Masjid_Raya_Baiturrahman,Masya Allah tabarakallah ????,,20/05/2026 11:15,2,TikTok
Masjid_Raya_Baiturrahman,Maaasyaaaa Aaallaaah ?????? Megah tat lepah ??????,,21/05/2026 17:17,0,TikTok
Masjid_Raya_Baiturrahman,jamaah full kah,,22/05/2026 10:42,0,TikTok
Masjid_Raya_Baiturrahman,ya allah rindu ingin ke masjid baiturrahman dulu sering sholat jum'at di masjid baiturrahman insyaallah tahun depan bawak anak² sholat di sini ??????,,25/05/2026 23:37,1,TikTok
Masjid_Raya_Baiturrahman,"serumit-rumitnya pemikiran di kepala tapi bila sudah berada di dalam masjid ini, semua terasa plong dan adem. Masjid kebanggaan dan penuh keberkahan.",,22/05/2026 16:18,0,TikTok
Masjid_Raya_Baiturrahman,"ma syaa Allah, subhanallah..,indah dan luas nya mesjid Banda Aceh...,saya blm prnh masuk ke dalam,krn dr 2003 udh ke Batam,THN 2020 pulang prgi melaboh,balek dr melaboh smpai mesjid udh jam 9 MLM,JD hanya di payung itu aja masuk nya...,",,21/05/2026 20:03,0,TikTok
Masjid_Raya_Baiturrahman,indah nya Di dlm masjid Dan luas lg sejuk ht memandang,,21/05/2026 12:07,1,TikTok
Masjid_Raya_Baiturrahman,rindu nak balik kampung nak pergi kemesjid ini??????,,21/05/2026 09:30,0,TikTok
Masjid_Raya_Baiturrahman,MasyaAllah??,,01/06/2026 21:16,0,TikTok
Masjid_Raya_Baiturrahman,masha allah keren parah smpe tembus ke dalam2????,,24/05/2026 15:51,0,TikTok
Masjid_Raya_Baiturrahman,masyaallah tabarakallah,,22/05/2026 00:34,0,TikTok
Masjid_Raya_Baiturrahman,Ijin download video ya min,,21/05/2026 23:18,0,TikTok
Masjid_Raya_Baiturrahman,semoga lebaran ini bisa ke tempat yg mulia ini.. ????,,21/05/2026 22:46,0,TikTok
Masjid_Raya_Baiturrahman,Ijin saya post ulang ??????,,20/05/2026 12:51,2,TikTok
Masjid_Raya_Baiturrahman,Macam pernah ku lihat Masjid seperti ini nama seperti ini. Tapi Masjid itu kecik. Ini Masjid besar mana Ya??,,21/05/2026 23:23,0,TikTok
Masjid_Raya_Baiturrahman,ini bukn nya mesjit raya baiturrahman banda aceh?,,26/05/2026 11:17,1,TikTok
Masjid_Raya_Baiturrahman,[Sticker] ,,26/05/2026 08:26,0,TikTok
Masjid_Raya_Baiturrahman,"masyaallah main dron dalam masjid ??, salam dari Banda Aceh ????",,22/05/2026 12:08,0,TikTok
Museum_Tsunami_Aceh,"""Masjid Rahmatullah berdiri kokoh di pesisir pantai lampuuk sementara bangunan lain hancur porak poranda"" merinding bacanya??",,09/07/2025 16:03,271,TikTok
Museum_Tsunami_Aceh,Stunami??,,17/06/2025 22:27,38,TikTok
Museum_Tsunami_Aceh,pengibaran bendera setengah tiang,,03/08/2025 13:25,1,TikTok
Museum_Tsunami_Aceh,tsunami ka bukan stunami??,,08/08/2025 10:05,2,TikTok
Museum_Tsunami_Aceh,Blm lahir,,30/07/2025 20:55,3,TikTok
Museum_Tsunami_Aceh,"kemaren habis ke museum,ke kapal terapung kakk",,07/04/2026 20:59,0,TikTok
Museum_Tsunami_Aceh,"saudara ayah ku banyak yang kena dampak tsunami Aceh
banyak yang meninggal dan jasad nya gak ada di temukan sampai sekarang:)
""kisah kelam tsunami aceh""",,22/07/2025 07:57,57,TikTok
Museum_Tsunami_Aceh,folloback,,29/05/2025 01:55,2,TikTok
Museum_Tsunami_Aceh,ikut nyesek padahl bukan orang aceh??,,08/08/2025 01:40,10,TikTok
Museum_Tsunami_Aceh,"""Aceh Bangkit tidak Sendiri""",,05/08/2025 11:53,1,TikTok
Museum_Tsunami_Aceh,day 1 salah nulis,,02/08/2025 12:29,2,TikTok
Museum_Tsunami_Aceh,stunami??,,12/08/2025 08:18,1,TikTok
Museum_Tsunami_Aceh,enak yang pernah masuk ke museumnya,,19/07/2025 17:26,1,TikTok
Museum_Tsunami_Aceh,pas pas lgi mkn mie aceh,,24/07/2025 21:03,0,TikTok
Museum_Tsunami_Aceh,"26 desember 2004?? yaAllah
dan bulan ini 25desemner 2025 terjadi??tapi bukan tsunami,Pray For Aceh, Sumatera Utara, Sumatera Barat",,07/12/2025 20:42,1,TikTok
Museum_Tsunami_Aceh,nama kakek nenek gw di situ??,,27/07/2025 07:52,5,TikTok
Museum_Tsunami_Aceh,"Gara2 berita tsunami aceh yg dulu muncul2 lagi di beranda, semalem mimpi kena tsunami visualnya juelassss bangetttt warnanya dll sambil teriak ""waduhh mati ini Maaa Paa !! (aku liat ke arah atas, posisiku paling bawah. Atasnya papa, atasnya lagi mama) astaghfirullah yaAllah bismillah!!"" Bilang bismillah karena takut gimana rasanya kelelep. Dan di dalem mimpi ngerasa kayak 'yaampun sia2 aku hidup ujung2nya matii.. akhirat lebih penting daripada dunia'",,09/08/2025 06:11,2,TikTok
Museum_Tsunami_Aceh,Gw bikin infografis buat tugas semester Juli tahun lalu tentang mitigasi gempa dan tsunami. Sampe hari ini masih terpajang di kamar dengan terdapat kalimat Bila Gempa Berpotensi Tszunami. Iya TZSUNAMI??????,,14/06/2025 15:34,5,TikTok
Museum_Tsunami_Aceh,kangen aceh tmpt kelahiran aku?????? pengen ke museum itu lagi kangennn bngettt udh sudah 6 thun ga ke aceh,,02/08/2025 18:36,0,TikTok
Museum_Tsunami_Aceh,di nomor 12 ada masjid aceh utuh,,11/08/2025 16:35,0,TikTok
Museum_Tsunami_Aceh,izin share,,04/08/2025 08:53,0,TikTok
Museum_Tsunami_Aceh,aku 4 THN kena ombak tsunami,,04/08/2025 00:29,0,TikTok
Museum_Tsunami_Aceh,"kakak nya ayahku pernah ngalamin
tsunami ini Alhamdulillah kakak nya
ayahku selamat semua keluarga nya",,18/08/2025 13:37,0,TikTok
Museum_Tsunami_Aceh,?????? ???????? ?????? ???? ???????? ???????? ?????????? ???????? ?????????????????? ???????????? ????????????????,,15/08/2025 12:56,0,TikTok
Museum_Tsunami_Aceh,"ada namaku ""LIZA"" ngga kebayang sebanyak itu jasad yang sudah terendam ??",,13/09/2025 13:27,0,TikTok
Museum_Tsunami_Aceh,salpok ama foto ke9 ada nama agusyanto,,10/04/2026 15:50,0,TikTok
Museum_Tsunami_Aceh,tgl kejadian nya mirip pas aku lahir??,,24/07/2025 10:29,0,TikTok
Museum_Tsunami_Aceh,"Tsunami kak, bkn Stunami",,21/08/2025 23:20,0,TikTok
Museum_Tsunami_Aceh,Plis kangen kakek ??,,31/07/2025 09:34,0,TikTok
Museum_Tsunami_Aceh,kangen banget sama om aku dan sepupu akuu,,02/08/2025 13:21,0,TikTok
Museum_Tsunami_Aceh,emang se kangen itu sampe mengingat kembali??,,07/08/2025 20:20,1,TikTok
Museum_Tsunami_Aceh,@redvelvet,,18/09/2025 15:06,0,TikTok
Museum_Tsunami_Aceh,@Pisces??,,16/06/2025 00:58,0,TikTok
Museum_Tsunami_Aceh,@raaa,,21/08/2025 16:25,1,TikTok
Museum_Tsunami_Aceh,??,,26/06/2025 12:42,1,TikTok
Museum_Tsunami_Aceh,??,,21/06/2025 06:12,1,TikTok
Museum_Tsunami_Aceh,??,,18/12/2025 17:19,0,TikTok
Museum_Tsunami_Aceh,??,,01/12/2025 21:31,0,TikTok
Museum_Tsunami_Aceh,??,,07/01/2026 17:56,0,TikTok
Museum_Tsunami_Aceh,??,,04/12/2025 17:17,0,TikTok
Museum_Tsunami_Aceh,??,,19/11/2025 16:04,0,TikTok
Museum_Tsunami_Aceh,??,,21/11/2025 14:35,0,TikTok
Museum_Tsunami_Aceh,??????,,14/11/2025 21:22,0,TikTok
Museum_Tsunami_Aceh,??,,06/11/2025 01:05,0,TikTok
Museum_Tsunami_Aceh,??,,02/11/2025 13:38,0,TikTok
Museum_Tsunami_Aceh,???,,29/10/2025 22:55,0,TikTok
Museum_Tsunami_Aceh,??,,05/10/2025 16:47,0,TikTok
Museum_Tsunami_Aceh,??????,,04/10/2025 07:58,0,TikTok
Museum_Tsunami_Aceh,??,,11/12/2025 15:39,0,TikTok
Museum_Tsunami_Aceh,??,,23/12/2025 23:02,0,TikTok
Museum_Tsunami_Aceh,??,,07/08/2025 14:17,0,TikTok
Museum_Tsunami_Aceh,??,,11/12/2025 18:47,0,TikTok
Museum_Tsunami_Aceh,??????,,26/11/2025 07:01,0,TikTok
Museum_Tsunami_Aceh,??,,16/12/2025 23:31,0,TikTok
Museum_Tsunami_Aceh,??,,06/08/2025 14:48,0,TikTok
